gpu_name = a100
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      1395         1.000        1.000        0.125        0.997        0.264        0.000        758702                      347169                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.243        0.000        828078                      394304                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.243        0.000        828078                      394304                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.263        0.000        1181978                     601060                      66378             
GPU 0      1380         1.000        0.000        0.000        0.000        0.264        0.000        1050590                     523329                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.242        0.000        831190                      370180                      66378             
GPU 0      1380         0.999        0.992        0.123        0.989        0.277        0.000        1198110                     582615                      66378             
GPU 0      1395         1.000        0.000        0.000        0.000        0.242        0.000        1063464                     547354                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.297        0.000        508053                      210479                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.273        0.000        862424                      444485                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.273        0.000        862424                      444485                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.213        0.000        961341                      425901                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.180        0.000        1060138                     567606                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.180        0.000        1060138                     567606                      66378             
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      1395         1.000        1.000        0.125        0.997        0.284        0.000        861081                      410778                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.284        0.000        861081                      410778                      66378             
GPU 0      1395         0.990        1.000        0.125        0.997        0.246        0.000        1091400                     598339                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.316        0.000        1173347                     554411                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.296        0.000        1273650                     628297                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.296        0.000        1273650                     628297                      66378             
GPU 0      1395         0.999        0.000        0.000        0.000        0.229        0.000        603968                      252479                      66378             
GPU 0      1410         1.000        1.000        0.125        0.997        0.153        0.000        451222                      242966                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.259        0.000        1426563                     688510                      66378             
GPU 0      1395         1.000        0.000        0.000        0.000        0.317        0.000        941378                      465486                      66378             
GPU 0      1395         0.998        1.000        0.125        0.997        0.218        0.000        791724                      406370                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.165        0.000        793873                      352040                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.165        0.000        793873                      352040                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.338        0.000        1077645                     489362                      66378             
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      1380         1.000        1.000        0.125        0.997        0.365        0.000        1521361                     793101                      66378             
GPU 0      1365         1.000        1.000        0.125        0.997        0.365        0.000        1521361                     793101                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.187        0.000        1096726                     476745                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.264        0.000        1056495                     518896                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.264        0.000        1056495                     518896                      66378             
GPU 0      1380         1.000        0.000        0.000        0.000        0.327        0.000        1084790                     527805                      66378             
GPU 0      1395         0.996        0.984        0.122        0.982        0.161        0.000        868010                      471418                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.175        0.000        694434                      359446                      66378             
GPU 0      1395         1.000        0.000        0.000        0.000        0.208        0.000        571509                      266097                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.245        0.000        785113                      405708                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.245        0.000        785113                      405708                      66378             
GPU 0      1410         0.997        1.000        0.125        0.997        0.166        0.000        1183484                     639246                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.307        0.000        1110189                     514384                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.323        0.000        1546064                     773811                      66378             
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      1380         1.000        1.000        0.125        0.997        0.323        0.000        1546064                     773811                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.154        0.000        766269                      394820                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.154        0.000        766269                      394820                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.210        0.000        908117                      431289                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.259        0.000        639316                      297229                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.259        0.000        639316                      297229                      66378             
GPU 0      1395         0.998        0.000        0.000        0.000        0.156        0.000        983731                      540693                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.233        0.000        531165                      248003                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.304        0.000        928411                      460033                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.304        0.000        928411                      460033                      66378             
GPU 0      1395         0.999        0.989        0.123        0.986        0.289        0.000        1204468                     533160                      66378             
GPU 0      1395         1.000        0.000        0.000        0.000        0.157        0.000        446026                      239252                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.226        0.000        927196                      410839                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.226        0.000        927196                      410839                      66378             
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      1395         0.999        1.000        0.125        0.997        0.227        0.000        923458                      445642                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.158        0.000        987778                      449028                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.273        0.000        730112                      330868                      66378             
GPU 0      1380         1.000        0.000        0.000        0.000        0.321        0.000        1214133                     619189                      66378             
GPU 0      1380         1.000        0.000        0.000        0.000        0.321        0.000        1214133                     619189                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.208        0.000        1080525                     553722                      66378             
GPU 0      1365         1.000        1.000        0.125        0.997        0.308        0.000        1176371                     589327                      66378             
GPU 0      1365         1.000        1.000        0.125        0.997        0.384        0.000        958395                      459849                      66378             
GPU 0      1380         1.000        0.000        0.000        0.000        0.341        0.000        5429501                     3684309                     66378             
GPU 0      1395         1.000        0.000        0.000        0.000        0.341        0.000        5429501                     3684309                     66378             
GPU 0      1410         1.000        0.997        0.124        0.994        0.241        0.000        833447                      579764                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.225        0.000        836455                      391728                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.225        0.000        836455                      391728                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.319        0.000        1019873                     455077                      66378             
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      1395         0.999        0.987        0.122        0.984        0.193        0.000        1275087                     618722                      66378             
GPU 0      1395         0.999        0.987        0.122        0.984        0.193        0.000        1275087                     618722                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.279        0.000        856860                      445567                      66378             
GPU 0      1395         1.000        0.000        0.000        0.000        0.288        0.000        888275                      434234                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.306        0.000        942698                      483503                      66378             
GPU 0      1395         0.999        1.000        0.125        0.997        0.189        0.000        672805                      327367                      66378             
GPU 0      1380         1.000        0.000        0.000        0.000        0.366        0.000        1065085                     488038                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.344        0.000        642083                      289090                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.344        0.000        642083                      289090                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.305        0.000        652581                      312552                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.174        0.000        1282771                     651356                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.174        0.000        1282771                     651356                      66378             
GPU 0      1380         1.000        0.000        0.000        0.000        0.328        0.000        417182                      221329                      66378             
GPU 0      1380         1.000        0.000        0.000        0.000        0.328        0.000        417182                      221329                      66378             
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      1395         0.999        1.000        0.125        0.997        0.288        0.000        979467                      458985                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.178        0.000        513117                      240063                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.273        0.000        1707661                     702220                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.273        0.000        1707661                     702220                      66378             
GPU 0      1395         0.997        0.000        0.000        0.000        0.163        0.000        894621                      455989                      66378             
GPU 0      1410         0.997        0.000        0.000        0.000        0.163        0.000        894621                      455989                      66378             
GPU 0      1365         1.000        1.000        0.125        0.997        0.284        0.000        937746                      484839                      66378             
GPU 0      1380         1.000        1.000        0.125        0.997        0.336        0.000        717856                      295923                      66378             
GPU 0      1380         1.000        0.000        0.000        0.000        0.385        0.000        947235                      432893                      66378             
GPU 0      1395         0.999        0.991        0.123        0.988        0.171        0.000        848743                      406578                      66378             
GPU 0      1395         0.999        0.991        0.123        0.988        0.171        0.000        848743                      406578                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.175        0.000        1005999                     514828                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.201        0.000        709704                      324803                      66378             
GPU 0      1395         0.999        0.000        0.000        0.000        0.211        0.000        1026202                     504701                      66378             
